setting,es,group,centile,rank,final.rank,effective.group
all,-3,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.99,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.98,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.97,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.96,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.95,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.94,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.93,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.92,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.91,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.9,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.89,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.88,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.87,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.86,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.85,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.84,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.83,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.82,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.81,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.8,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.79,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.78,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.77,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.76,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.75,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.74,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.73,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.72,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.71,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.7,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.69,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.68,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.67,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.66,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.65,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.64,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.63,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.62,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.61,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.6,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.59,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.58,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.57,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.56,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.55,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.54,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.53,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.52,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.51,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.5,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.49,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
all,-2.48,depression,0.71,0.71st,≤0.71 percentile rank,lower (≤25th percentile)
